day	hour	value
1	1	16
1	2	0
1	3	0
1	4	105
1	5	0
1	6	3
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	273
1	13	106
1	14	0
1	15	0
2	1	201
2	2	145
2	3	179
2	4	175
2	5	252
2	6	204
2	7	274
2	8	311
2	9	317
2	10	288
2	11	361
2	12	344
2	13	438
2	14	406
2	15	521
3	1	118
3	2	75
3	3	105
3	4	200
3	5	73
3	6	171
3	7	260
3	8	104
3	9	233
3	10	254
3	11	339
3	12	343
3	13	376
3	14	272
3	15	478
4	1	114
4	2	112
4	3	130
4	4	130
4	5	167
4	6	207
4	7	245
4	8	257
4	9	306
4	10	348
4	11	429
4	12	415
4	13	382
4	14	408
4	15	511
5	1	72
5	2	114
5	3	182
5	4	136
5	5	182
5	6	179
5	7	266
5	8	410
5	9	346
5	10	334
5	11	442
5	12	472
5	13	502
5	14	513
5	15	522
6	1	61
6	2	88
6	3	125
6	4	147
6	5	150
6	6	188
6	7	235
6	8	286
6	9	306
6	10	359
6	11	390
6	12	418
6	13	500
6	14	462
6	15	509
7	1	91
7	2	112
7	3	141
7	4	166
7	5	197
7	6	209
7	7	313
7	8	307
7	9	364
7	10	402
7	11	448
7	12	457
7	13	465
7	14	545
7	15	554
